,K3,K2,K1,P2,P1,R1,R2,i1,i2,O,S,a,c,e,h,l,o,n,p,s,r,u,z
K3,0.6087907143024028,0.5092029924309481,0.5153817110400124,0.3886199091823575,0.5301721374085648,0.5406692016506444,0.3640627996143266,0.5699091818376704,0.5677287267909886,0.31153457475198615,0.3099949330228512,0.2980599080497586,0.44254647614117815,0.3060947808182966,0.3310831917983037,0.5170987973204099,0.35563797885624776,0.33403683236755694,0.3088225601261118,0.33996528247873253,0.4018841912827057,0.3795587017982585,0.33179701263296785
K2,0.5092029924309476,0.5471925166115382,0.44895819691694006,0.42318290076157233,0.4566419862143772,0.4491860023103931,0.3805640081611397,0.48001979234318715,0.49688362326807184,0.31568087775183984,0.3122160782325214,0.3010138401167744,0.394656161001326,0.3163650313379864,0.3096889053095006,0.4595498198667923,0.3578456711282297,0.3096561818039039,0.2912113707390706,0.3392774222533808,0.3722042218537972,0.3799764689125935,0.36763957466989056
K1,0.5153817110400126,0.44895819691694094,0.4803354837896288,0.4023187065024018,0.48784204103161877,0.5020426682749143,0.38264292869439814,0.5037454635648294,0.46793126195699464,0.3379196669464119,0.3347820960964136,0.32367831985338197,0.43980861824031997,0.3279886910164863,0.34902479217231824,0.477881180730365,0.374331813004205,0.3499535780847396,0.31793871255376316,0.3652107584643178,0.39587319100695906,0.39240819702367363,0.34747288129266846
P2,0.38861990918235695,0.4231829007615745,0.40231870650240253,0.545265708263984,0.4176049415890157,0.4144020479297997,0.5094043111977309,0.38322206188227453,0.3432900621505755,0.4369720410022832,0.40320721378439484,0.38771811529185357,0.3996720535362873,0.4109160567245616,0.37061485578319997,0.39205334722031554,0.43211296717050574,0.3431442871520983,0.3334350036836671,0.43194451056942595,0.3783920476569505,0.4163337936917637,0.48938705664434456
P1,0.5301721374085643,0.45664198621437746,0.48784204103161855,0.41760494158901645,0.5200004229857992,0.5224055176138537,0.3979474290548304,0.5319301619077624,0.4873541125917729,0.3491897123268184,0.34453139123051296,0.33218586221807805,0.45247638977690313,0.3452895949031689,0.3595335001055717,0.49544092001664647,0.38575382224659055,0.36110093637013924,0.3269733183418638,0.37438424326436387,0.41501418011577235,0.40471111207784444,0.36700199755431306
R1,0.5406692016506449,0.4491860023103921,0.5020426682749128,0.41440204792979873,0.5224055176138546,0.547420317005462,0.39728434520187883,0.5337926597673375,0.48218015989486696,0.3489185966066199,0.3465872894066578,0.3306499024323076,0.46148236462826114,0.3347694283846471,0.3605339067121131,0.5031362326741281,0.38603986109271227,0.35808008104781375,0.32534473546955445,0.37925483301251167,0.4069632457807567,0.4043220712118664,0.3522453079513226
R2,0.36406279961432714,0.3805640081611396,0.38264292869439914,0.509404311197732,0.3979474290548295,0.3972843452018798,0.505813411952093,0.3630328644838653,0.30950462026658604,0.43298077517896477,0.408018972785504,0.39609963987069674,0.40086349208119804,0.41057006558972453,0.3819968957685511,0.3755209411433574,0.4200448399548196,0.357385976888803,0.3463191391482207,0.42491466876827855,0.3794640703698386,0.4038781902838627,0.4801428584355649
i1,0.5699091818376685,0.4800197923431888,0.503745463564828,0.3832220618822756,0.5319301619077628,0.5337926597673402,0.36303286448386546,0.6023961902740976,0.566146294909368,0.3159934137951306,0.3070988501105228,0.30932342685711983,0.46374302209090945,0.32023965384170566,0.35568140723875924,0.5359731546610897,0.3647148966357315,0.36522801311697795,0.3151144204768018,0.3521727393866628,0.4195921013584053,0.4008983145746504,0.33779138552472493
i2,0.5677287267909895,0.4968836232680705,0.46793126195699514,0.34329006215057667,0.4873541125917718,0.48218015989487256,0.30950462026658593,0.5661462949093682,0.5957704023035594,0.2562048731577675,0.24760466036684087,0.2532315606034173,0.3989994175768302,0.27371901667193443,0.29149238394014776,0.4951941709010546,0.30445055570425794,0.30234375309288913,0.2664099459265506,0.2857962630886806,0.3672740236152657,0.34208835710958224,0.2952972974532195
O,0.3115345747519853,0.31568087775184017,0.33791966694641207,0.4369720410022816,0.34918971232681906,0.3489185966066224,0.4329807751789627,0.3159934137951291,0.2562048731577679,0.4626631380016572,0.4549584587752756,0.43053230858420494,0.3895291587987358,0.38794117549943385,0.39610977368563194,0.3390091632358363,0.4426981465270256,0.3585408578603086,0.3357201827929218,0.44377416099425987,0.3501880736024989,0.39322884347580095,0.4360334198316798
S,0.3099949330228516,0.312216078232523,0.33478209609641246,0.40320721378439284,0.3445313912305137,0.34658728940665834,0.4080189727855038,0.3070988501105204,0.2476046603668416,0.4549584587752745,0.5076603397867209,0.4547636325653224,0.39881884945117685,0.3955446418127169,0.3961395082012847,0.33712625576563593,0.45602032534220494,0.3556065391902661,0.3419641394702711,0.466583769255031,0.3497163841943437,0.39622206930568515,0.42742003763671327
a,0.29805990804975785,0.30101384011677407,0.323678319853381,0.3877181152918549,0.33218586221807805,0.33064990243230724,0.39609963987069885,0.30932342685711917,0.2532315606034174,0.4305323085842051,0.4547636325653203,0.4744444994903876,0.3907892747975766,0.4139006342815749,0.40656099110805666,0.33662626812917307,0.43337940523308394,0.36739626142457665,0.34280090840407196,0.4426108798415029,0.3548221101348426,0.39356950292794435,0.42905398086951557
c,0.44254647614117903,0.39465616100132617,0.4398086182403195,0.3996720535362872,0.45247638977690335,0.46148236462826125,0.4008634920811968,0.4637430220909088,0.39899941757683155,0.3895291587987353,0.39881884945117657,0.390789274797578,0.523516041154406,0.37275886803615715,0.39274644041509427,0.47556103595263843,0.42320508535657475,0.3796345914793317,0.3443634773887564,0.41182137052202916,0.3945200359935942,0.3992804368268173,0.3963409288682829
e,0.3060947808182924,0.3163650313379867,0.327988691016485,0.4109160567245601,0.3452895949031684,0.33476942838464824,0.41057006558972303,0.3202396538417045,0.2737190166719362,0.387941175499434,0.39554464181272136,0.4139006342815767,0.3727588680361527,0.4977728803708981,0.3621673200751666,0.32984642017953936,0.3849289664637585,0.3319902066208237,0.33473094205033743,0.40377894451479046,0.38457212297455645,0.3933181819572335,0.4878149945628731
h,0.3310831917983014,0.30968890530950305,0.3490247921723158,0.3706148557831996,0.3595335001055734,0.3605339067121097,0.381996895768549,0.3556814072387594,0.2914923839401478,0.39610977368563294,0.39613950820128463,0.4065609911080571,0.3927464404150939,0.36216732007516617,0.41431004967541757,0.3676573187377842,0.4008205377222546,0.39150049294515193,0.3521140217375115,0.4070813413696941,0.37221423779552143,0.38941835833617716,0.37592990362068773
l,0.5170987973204129,0.4595498198667934,0.4778811807303652,0.3920533472203152,0.4954409200166472,0.5031362326741311,0.3755209411433595,0.5359731546610871,0.4951941709010516,0.3390091632358338,0.3371262557656339,0.3366262681291735,0.47556103595263893,0.32984642017953775,0.36765731873778157,0.5158352498126805,0.3873871238801696,0.3674999438052969,0.3290755130839601,0.37746949446704037,0.41243911323911414,0.4122575137170668,0.35359724186027347
o,0.35563797885624776,0.35784567112822957,0.37433181300420326,0.432112967170505,0.3857538222465907,0.3860398610927152,0.4200448399548168,0.36471489663573203,0.3044505557042586,0.44269814652702666,0.45602032534220455,0.43337940523308516,0.42320508535657575,0.38492896646375574,0.4008205377222567,0.38738712388017055,0.48738574533057416,0.3663194657784754,0.339646640058327,0.4741693459410554,0.3761786230158583,0.44359566351042673,0.4161223648599248
n,0.3340368323675548,0.309656181803903,0.349953578084742,0.3431442871520988,0.3611009363701396,0.3580800810478131,0.3573859768888045,0.3652280131169777,0.30234375309288547,0.35854085786030765,0.3556065391902706,0.3673962614245759,0.3796345914793359,0.3319902066208304,0.39150049294515304,0.3674999438052988,0.3663194657784775,0.4030288986229765,0.3501364235971721,0.3683612926891689,0.37931498863935736,0.37134206009380744,0.3420873438642537
p,0.3088225601261141,0.29121137073906944,0.31793871255376416,0.33343500368366624,0.3269733183418638,0.32534473546955445,0.3463191391482222,0.3151144204768007,0.2664099459265508,0.3357201827929215,0.3419641394702698,0.34280090840407157,0.34436347738875644,0.3347309420503344,0.35211402173751083,0.32907551308396077,0.339646640058324,0.35013642359717095,0.38388745681944325,0.34676068253554293,0.35975577028225086,0.3492969692916114,0.3564673630038519
s,0.33996528247873326,0.3392774222533826,0.3652107584643168,0.43194451056942623,0.37438424326436387,0.37925483301251145,0.42491466876827927,0.35217273938666294,0.28579626308868034,0.44377416099426104,0.466583769255027,0.44261087984149977,0.4118213705220253,0.40377894451478924,0.4070813413696928,0.3774694944670424,0.4741693459410518,0.368361292689169,0.34676068253554293,0.48903391133972274,0.3765787778029214,0.4434094995815057,0.437109487736871
r,0.4018841912827055,0.3722042218537993,0.3958731910069601,0.37839204765695084,0.4150141801157735,0.4069632457807577,0.3794640703698356,0.41959210135840563,0.36727402361526534,0.35018807360249604,0.3497163841943443,0.3548221101348449,0.39452003599359525,0.3845721229745562,0.37221423779552526,0.41243911323911187,0.376178623015864,0.37931498863935825,0.35975577028224526,0.3765787778029245,0.4342161467119896,0.4084960638172288,0.392718618128083
u,0.3795587017982566,0.3799764689125938,0.39240819702367524,0.41633379369176493,0.4047111120778433,0.4043220712118657,0.4038781902838642,0.40089831457465036,0.3420883571095846,0.39322884347580034,0.39622206930568604,0.39356950292794457,0.39928043682682096,0.39331818195723645,0.3894183583361772,0.41225751371706665,0.44359566351042623,0.37134206009380744,0.34929696929161325,0.443409499581509,0.4084960638172287,0.48075936126164265,0.3990259162101747
z,0.33179701263296735,0.3676395746698912,0.3474728812926689,0.48938705664434295,0.36700199755431284,0.35224530795132336,0.4801428584355649,0.3377913855247247,0.2952972974532199,0.4360334198316777,0.42742003763671294,0.4290539808695158,0.396340928868283,0.48781499456287086,0.37592990362068796,0.3535972418602759,0.41612236485992476,0.3420873438642521,0.3564673630038528,0.4371094877368733,0.39271861812807946,0.3990259162101761,0.5544176748470465
